protac_id,warhead_id,e3_ligand_id,linker_id
1,1,19,1
2,1,19,2
3,1,2,3
4,1,2,4
5,1,12,5
6,1,12,6
7,1,19,7
8,1,19,8
9,1,19,9
11,1,26,11
12,1,25,11
13,1,18,11
14,1,26,12
15,1,25,12
16,1,18,12
17,1,26,13
18,4,26,13
19,4,26,11
20,1,26,14
21,4,26,14
22,1,26,15
23,4,26,15
24,1,26,16
25,4,26,16
26,2,26,17
27,5,26,17
28,2,26,18
29,5,26,18
30,2,26,19
31,5,26,19
32,2,26,20
33,5,26,20
34,2,26,21
35,5,26,21
36,6,3,22
37,8,2,23
38,8,2,11
39,9,5,0
40,8,2,24
41,8,2,25
42,8,2,15
43,8,2,26
44,8,2,27
45,8,2,13
46,8,2,14
47,8,3,15
48,8,5,23
49,8,6,15
50,8,6,28
51,8,6,29
52,8,7,28
53,8,8,28
54,8,28,23
55,8,28,11
56,8,28,14
57,10,6,30
58,10,6,31
59,10,28,14
60,10,28,27
61,10,28,25
62,10,28,23
63,10,28,15
64,10,28,26
65,10,28,32
66,10,28,33
67,11,28,27
68,12,28,27
69,13,28,27
70,14,28,27
71,15,28,27
72,16,28,27
73,17,28,27
74,18,28,27
75,10,28,11
76,10,28,1
77,10,28,34
78,10,28,35
79,10,28,36
80,10,28,37
81,10,28,38
82,10,28,39
83,26,28,27
84,28,28,27
85,29,28,27
86,30,28,27
87,10,19,27
88,10,30,27
89,10,31,27
90,10,32,27
91,10,33,27
92,10,34,27
93,10,35,27
94,32,19,24
95,32,19,25
96,32,19,23
97,32,19,15
98,32,19,26
99,32,19,27
100,32,19,32
101,32,19,33
102,32,19,40
103,32,19,41
104,32,19,11
105,33,19,42
106,33,19,43
107,33,28,43
108,33,28,44
109,33,28,45
110,33,28,46
111,33,28,47
112,32,37,33
113,33,37,43
114,33,38,47
115,33,38,48
116,35,38,48
117,36,38,48
118,38,38,48
119,39,38,48
120,38,39,48
121,38,40,48
122,38,36,48
123,38,41,48
124,38,42,48
125,38,37,49
126,38,2,50
127,38,3,48
128,40,3,51
129,40,2,52
130,40,3,53
131,40,2,27
132,40,2,26
133,40,2,15
134,40,2,23
135,40,2,25
136,40,2,24
137,40,3,26
138,40,3,54
139,40,3,15
140,40,6,26
141,40,6,54
142,184,6,55
143,40,6,23
144,40,6,25
145,41,6,15
146,42,3,56
147,42,3,57
148,42,3,58
149,42,3,59
150,42,3,60
151,42,19,61
152,42,19,62
153,42,19,63
154,42,19,64
155,42,19,65
156,45,3,51
157,46,3,0
158,46,3,66
159,46,2,24
160,46,2,25
161,46,2,23
162,46,2,15
163,46,5,25
164,46,5,23
165,46,6,15
166,46,6,28
167,46,3,28
168,47,2,12
169,47,21,67
170,47,13,68
171,49,2,69
172,49,13,70
173,50,19,1
174,50,19,9
175,50,19,71
176,50,19,72
177,50,19,73
178,50,19,74
179,50,19,75
180,50,19,76
181,71,19,11
182,71,19,77
183,71,19,78
184,71,19,79
185,71,43,11
186,71,43,80
187,71,43,81
188,71,43,82
189,61,2,83
190,61,2,84
191,61,2,85
193,61,2,87
194,42,5,88
195,53,19,24
196,53,19,25
197,53,19,23
198,53,19,15
199,53,19,26
200,53,19,27
201,53,19,89
202,53,19,13
203,53,19,11
204,53,19,14
205,54,3,90
206,54,3,91
207,54,3,92
208,42,14,93
209,42,19,94
210,55,2,95
211,55,2,96
212,55,2,97
213,55,2,98
214,55,2,99
215,55,2,100
216,55,2,101
217,55,2,102
218,55,2,103
219,55,2,104
220,55,2,105
221,55,1,106
222,55,1,107
223,56,2,108
224,56,2,109
225,57,2,110
226,57,2,111
227,57,2,112
228,57,2,113
229,42,29,114
230,42,9,114
