protac_id,target_uniprot,e3_ligand_uniprot,protac_smiles,e3_ligand_id,ㅡlogKd/Ki_target,nM_target,uM_target,M_target,ㅡlogKd/Ki_e3,nM_e3,uM_e3,M_e3
275,P00533,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOC3=CC=C(C4=CC=C5N=CN=C(NC6=CC=C(OCC7=CC=CC(F)=C7)C(Cl)=C6)C5=C4)C=C3)C(C)(C)C)C=C2)SC=N1,19,6.10096221,792.5703,0.7925703,7.93E-07,6.136059878,731.0383,0.7310383,7.31E-07
1373,Q06187,P40337,C=CC(=O)N1C[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C[C@H]1C(=O)OCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,19,6.108689917,778.5923,0.7785923,7.79E-07,5.437322763,3653.2319,3.6532319,3.65E-06
1373,P51451,P40337,C=CC(=O)N1C[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C[C@H]1C(=O)OCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,19,6.243220539,571.1885,0.5711885,5.71E-07,5.437322763,3653.2319,3.6532319,3.65E-06
334,O43353,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOC3=CC4=NC=CC(NC5=CC=C6SC=NC6=C5)=C4C=C3S(=O)(=O)C(C)(C)C)C(C)(C)C)C=C2)SC=N1,19,6.01145175,973.976,0.973976,9.74E-07,5.312451051,4870.2241,4.8702241,4.87E-06
283,Q06187,Q96SW2,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2C1CCN(CCOCCOCC(=O)NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)CC1,76,6.80549281,156.4974,0.1564974,1.56E-07,6.57320776,267.1728,0.2671728,2.67E-07
174,Q96SW2,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C(C)(C)C)C=C2)SC=N1,19,5.342704888,4542.5018,4.5425018,4.54E-06,5.224414107,5964.6627,5.9646627,5.96E-06
1656,Q05397,P40337,COC1=CC(C(=O)NCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)=CC=C1NC1=NC=C(C(F)(F)F)C(OC2=CC=CC3=C2C(=O)CC3)=N1,19,6.500829107,315.6246,0.3156246,3.16E-07,5.815953763,1527.7287,1.5277287,1.53E-06
1783,O60885,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C3=CC4=C(C=C3CS(C)(=O)=O)C3=CN(C)C(=O)C5=C3C(=C[NH]5)CN4C3=NC=C(F)C=C3F)C(C)(C)C)C=C2)SC=N1,19,5.954474622,1110.5174,1.1105174,1.11E-06,6.002888144,993.3719,0.9933719,9.93E-07
1785,O60885,P40337,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C3=CC4=C(C=C3CS(C)(=O)=O)C3=CN(C)C(=O)C5=C3C(=C[NH]5)CN4C3=NC=C(F)C=C3F)C(C)(C)C)C(OC3CCNCC3)=C2)SC=N1,84,6.032444388,928.0163,0.9280163,9.28E-07,6.063333742,864.3035,0.8643035,8.64E-07
11,Q9H8M2,P40337,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1,26,6.361812853,434.6975,0.4346975,4.35E-07,5.76802278,1705.9929,1.7059929,1.71E-06
