uniprot,half_life
P00533,
Q06187,
P51451,
O43353,
Q96SW2,
Q05397,
O60885,32.66
Q9H8M2,
Q16539,97.35
O15264,
P51531,109.68
P51532,
P01116,
Q00534,12.98
P11474,
P25440,
Q15059,47.09
Q9NPI1,21.18
Q13164,
Q9UM73,
Q03111,14.9
P03372,
O15379,62.9
Q13547,18.57
Q9NWZ3,
P10275,
P14679,
Q07817,
Q9UBN7,62.33
P11802,27.16
P09874,208.78
P15056,
P33981,
Q00987,
O43924,40.25
O75530,
Q15910,79.49
Q15022,22.27
P11362,
P21802,
P14902,
Q9Y616,
O14744,245.8
P35348,
Q92793,
Q09472,19.3
Q92769,
P04035,
P61964,67.82
P14174,64.9
P51617,
P10415,
Q86X55,
Q16342,
P50750,17.41
Q9BY41,
