linker_molecular_weight,e3_ligand_hydrogen_bond_acceptor_count,kcat,alpha,warhead_xlogp3,hydrogen_bond_acceptor_count,topological_polar_surface_area,linker_topological_polar_surface_area,kdegp,linker_hydrogen_bond_donor_count,linker_hydrogen_bond_acceptor_count,dmax,warhead_molecular_weight,alpha_dmax,e3_ligand_rotatable_bond_count,dc50,warhead_rotatable_bond_count,rotatable_bond_count,linker_xlogp3,alpha_dc50,warhead_hydrogen_bond_acceptor_count,molecular_weight,e3_ligand_xlogp3,e3_ligand_molecular_weight,kdp,e0,xlogp3,warhead_hydrogen_bond_donor_count,kde,warhead_binding_energy,e3_ligand_binding_energy,e3_ligand_hydrogen_bond_donor_count,linker_rotatable_bond_count,e3_ligand_topological_polar_surface_area,hydrogen_bond_donor_count,warhead_topological_polar_surface_area
134.222,8,1,1,4.1,13,199.37,0,0.010889207,0,0,0.92,494.429,1,9,25,7,16,3.63,1,3,934.152,1.83,594.738,508.3512,1,5.63,1,686.9879,6.293836135,6.163050937,4,2,164.52,5,49.77
148.202,4,1,1,5.27,14,234.9,27.69,0.010889207,0,3,0.851,524.658,1,5,367.8,11,19,0.15,1,7,876.002,1.86,413.518,4542.5018,1,2.33,1,5964.6627,5.342704888,5.224414107,3,7,98.74,5,108.16
280.361,5,1,1,2.19,17,267.43,55.38,0.010889207,0,6,0.85,434.548,1,1,9.7,5,27,-0.29,1,8,991.015,0,273.248,92.612,1,2.24,2,162.7905,7.033332511,6.788371064,2,16,109.57,4,91.21
236.308,5,1,1,2.19,16,258.2,46.15,0.010889207,0,5,0.85,434.548,1,1,5.9,5,24,-0.15,1,8,946.962,0,273.248,86.3928,1,2.39,2,105.6176,7.06352256,6.976263712,2,13,109.57,4,91.21
146.23,4,1,1,2.59,14,228.87,18.46,0.007118644,0,2,0.91,382.251,1,5,210,4,25,1.55,1,4,1106.259,1.86,413.518,1199.2144,1,7.93,4,1995.5245,5.921103166,5.699942938,3,7,98.74,5,98.91
163.217,4,1,1,2.57,12,200.76,53.71,0.0147165,1,4,0.91,378.439,1,5,50,4,21,-1.16,1,9,1036.693,1.86,413.518,1571.1345,1,6.56,3,3391.3885,5.803786636,5.469622456,3,8,98.74,5,145.99
171.284,5,1,1,2.54,12,199.6,29.1,0.010218225,1,1,0.77,499.619,1,1,42,6,19,2.9,1,7,995.117,0,273.248,91.3761,1,4.24,3,184.721,7.039167152,6.733483791,2,7,109.57,5,107.94
222.281,5,1,1,2.19,16,258.2,57.15,0.010889207,1,5,0.87,434.548,1,1,4.5,5,22,-0.68,1,8,932.935,0,273.248,93.6408,1,2.91,2,150.2269,7.02853472,6.823252246,2,12,109.57,4,91.21
71.123,4,1,1,2.3,12,144.55,12.03,0.021218616,1,1,0.98,417.42,1,1,0.1,4,6,0.36,1,9,712.792,0.13,258.233,270.5653,1,3.03,0,242.0766,6.567727922,6.616047135,1,0,83.55,1,81.43
156.313,5,1,1,2.74,10,205.08,0,0.011017488,0,0,0.76,481.307,1,5,1380,6,22,6.17,1,7,896.168,1.34,414.506,215.7749,1,7.56,4,800.7835,6.665998994,6.096484869,3,8,122.53,6,153.09
163.217,4,1,1,4.05,16,237.51,53.71,0.021218616,1,4,0.79,634.741,1,5,930,10,20,-1.16,1,9,1021.28,1.86,413.518,1789.2934,1,3.59,2,4038.8995,5.747318449,5.393736956,3,8,98.74,5,115.4
190.239,5,1,1,2.6,15,242.78,44.76,0.010889207,0,4,0.89,487.56,1,1,32,6,20,-0.42,1,7,917.851,0,273.248,74.979,1,2.93,1,232.2763,7.125060292,6.633995068,2,10,109.57,4,96.89
132.159,4,1,1,4.3,14,213.2,35.53,0.010889207,0,3,0.99,420.368,1,1,14.9,4,14,-0.17,1,6,787.834,-0.88,285.303,156.4974,1,2.33,1,267.1728,6.80549281,6.57320776,2,6,78.51,3,88.42
148.202,6,1,1,4.07,18,277.74,27.69,0.021218616,0,3,0.99,422.828,1,5,180,7,23,0.15,1,6,1201.386,2.86,458.628,928.0163,1,2.75,3,864.3035,6.032444388,6.063333742,3,7,108.55,6,117.2
